symbol,ts,year,ret1,vol_ratio,entry,REF_status,REF_close_ret,REF_tp_hit,A_status,A_close_ret,A_tp_hit,B_status,B_close_ret,B_tp_hit
FIL/USDT,2024-03-05 19:00:00+00:00,2024,-9.78,2.72,8.39,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
FIL/USDT,2024-04-13 19:00:00+00:00,2024,-8.04,2.01,5.665,win,5.0,TP1,loss,-3.0,,loss,-4.0,
HBAR/USDT,2024-03-05 19:00:00+00:00,2024,-10.31,2.66,0.1035,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
HBAR/USDT,2024-04-13 19:00:00+00:00,2024,-7.18,2.49,0.0763,win,5.0,TP1,loss,-3.0,,loss,-4.0,
HBAR/USDT,2024-11-23 02:00:00+00:00,2024,-9.87,1.9,0.14891,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
VET/USDT,2022-01-22 09:00:00+00:00,2022,-7.03,2.18,0.04801,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
VET/USDT,2024-04-13 19:00:00+00:00,2024,-7.2,1.67,0.03891,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ALGO/USDT,2022-05-11 12:00:00+00:00,2022,-14.69,2.6,0.4293,win,5.0,TP1,win,15.0,TP3,win,8.0,TP1
ALGO/USDT,2022-11-08 17:00:00+00:00,2022,-8.2,1.8,0.365,expired,-18.68,,loss,-3.0,,loss,-4.0,
ALGO/USDT,2022-11-09 21:00:00+00:00,2022,-11.04,2.59,0.2586,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ALGO/USDT,2024-04-13 19:00:00+00:00,2024,-8.73,2.38,0.1662,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ALGO/USDT,2024-12-10 15:00:00+00:00,2024,-7.3,1.54,0.3862,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ALGO/USDT,2025-01-19 21:00:00+00:00,2025,-7.05,3.0,0.4155,win,5.0,TP1,loss,-3.0,,loss,-4.0,
AAVE/USDT,2022-11-09 21:00:00+00:00,2022,-8.71,2.54,58.7,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
AAVE/USDT,2024-03-05 19:00:00+00:00,2024,-10.4,2.76,99.38,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
AAVE/USDT,2024-07-05 02:00:00+00:00,2024,-7.65,1.87,72.64,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SAND/USDT,2022-11-09 21:00:00+00:00,2022,-9.42,1.65,0.5609,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SAND/USDT,2024-03-05 19:00:00+00:00,2024,-13.34,2.59,0.6011,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SAND/USDT,2024-04-13 19:00:00+00:00,2024,-8.99,2.4,0.422,expired,1.85,,loss,-3.0,,loss,-4.0,
MANA/USDT,2022-11-09 21:00:00+00:00,2022,-9.93,1.96,0.4554,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
MANA/USDT,2024-04-13 19:00:00+00:00,2024,-9.34,2.77,0.4251,expired,1.32,,loss,-3.0,,loss,-4.0,
MANA/USDT,2024-11-24 06:00:00+00:00,2024,-7.03,1.99,0.6559,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
MANA/USDT,2026-01-23 05:00:00+00:00,2026,-7.03,2.66,0.1733,expired,-6.35,,loss,-3.0,,loss,-4.0,
AXS/USDT,2022-05-11 06:00:00+00:00,2022,-8.77,2.47,21.44,win,5.0,TP1,loss,-3.0,,loss,-4.0,
AXS/USDT,2022-11-09 21:00:00+00:00,2022,-13.04,2.47,5.8,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
AXS/USDT,2024-04-13 19:00:00+00:00,2024,-7.49,2.05,6.841,win,5.0,TP1,win,15.0,TP3,win,20.0,TP2
AXS/USDT,2024-07-05 02:00:00+00:00,2024,-7.07,2.44,4.562,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
AXS/USDT,2025-10-10 20:00:00+00:00,2025,-7.28,2.84,1.884,expired,-20.44,,loss,-3.0,,loss,-4.0,
AXS/USDT,2026-01-23 05:00:00+00:00,2026,-7.22,1.77,2.623,win,5.0,TP1,loss,-3.0,,loss,-4.0,
AXS/USDT,2026-04-25 12:00:00+00:00,2026,-8.83,2.06,1.508,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
GALA/USDT,2022-01-21 21:00:00+00:00,2022,-8.56,2.97,0.21463,expired,-14.78,,loss,-3.0,,loss,-4.0,
GALA/USDT,2022-01-22 09:00:00+00:00,2022,-10.96,2.49,0.16147,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
GALA/USDT,2022-11-09 21:00:00+00:00,2022,-7.24,2.33,0.02523,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
GALA/USDT,2023-01-18 15:00:00+00:00,2023,-8.1,2.99,0.04654,expired,-4.08,,loss,-3.0,,loss,-4.0,
GALA/USDT,2023-11-09 16:00:00+00:00,2023,-10.08,2.89,0.02276,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
GALA/USDT,2024-11-12 09:00:00+00:00,2024,-7.4,1.65,0.02854,expired,-11.98,,loss,-3.0,,loss,-4.0,
GALA/USDT,2024-12-20 08:00:00+00:00,2024,-7.38,1.9,0.0329,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ENJ/USDT,2022-11-09 21:00:00+00:00,2022,-7.84,1.8,0.3162,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ENJ/USDT,2024-04-13 19:00:00+00:00,2024,-9.27,2.54,0.3062,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ENJ/USDT,2024-07-05 02:00:00+00:00,2024,-8.44,2.68,0.1388,win,5.0,TP1,win,5.0,TP1,win,20.0,TP2
ENJ/USDT,2024-11-24 06:00:00+00:00,2024,-7.47,1.9,0.2738,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ENJ/USDT,2026-04-09 04:00:00+00:00,2026,-8.01,1.91,0.03283,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ENJ/USDT,2026-04-13 15:00:00+00:00,2026,-7.3,2.4,0.04429,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ENJ/USDT,2026-04-19 01:00:00+00:00,2026,-8.58,1.91,0.05583,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
CHZ/USDT,2022-11-08 17:00:00+00:00,2022,-10.34,1.74,0.2367,expired,-25.6,,loss,-3.0,,loss,-4.0,
CHZ/USDT,2022-11-09 21:00:00+00:00,2022,-12.77,2.12,0.1475,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
CHZ/USDT,2024-03-05 19:00:00+00:00,2024,-13.01,2.75,0.12507,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
CHZ/USDT,2024-04-13 19:00:00+00:00,2024,-8.82,2.31,0.10013,win,5.0,TP1,loss,-3.0,,loss,-4.0,
CHZ/USDT,2024-07-05 02:00:00+00:00,2024,-7.76,2.71,0.0559,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
COMP/USDT,2024-03-05 19:00:00+00:00,2024,-10.91,2.85,77.25,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
COMP/USDT,2024-04-13 19:00:00+00:00,2024,-8.67,2.2,49.51,win,5.0,TP1,loss,-3.0,,loss,-4.0,
COMP/USDT,2024-12-09 20:00:00+00:00,2024,-7.63,2.89,99.69,expired,-5.41,,loss,-3.0,,loss,-4.0,
COMP/USDT,2025-04-01 10:00:00+00:00,2025,-7.3,2.19,48.86,expired,-11.87,,loss,-3.0,,loss,-4.0,
COMP/USDT,2026-02-13 21:00:00+00:00,2026,-7.21,2.61,21.25,win,5.0,TP1,loss,-3.0,,loss,-4.0,
CRV/USDT,2022-05-11 12:00:00+00:00,2022,-13.42,2.67,1.574,win,5.0,TP1,win,15.0,TP3,win,8.0,TP1
CRV/USDT,2022-11-09 21:00:00+00:00,2022,-7.9,2.97,0.536,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
CRV/USDT,2023-02-09 02:00:00+00:00,2023,-7.16,2.5,1.063,expired,-6.77,,loss,-3.0,,loss,-4.0,
CRV/USDT,2023-07-31 19:00:00+00:00,2023,-7.27,2.51,0.561,win,5.0,TP1,loss,-3.0,,loss,-4.0,
CRV/USDT,2024-03-05 19:00:00+00:00,2024,-12.27,2.75,0.6344,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
CRV/USDT,2024-04-13 19:00:00+00:00,2024,-8.46,2.14,0.4251,win,5.0,TP1,loss,-3.0,,loss,-4.0,
CRV/USDT,2024-06-13 05:00:00+00:00,2024,-8.13,1.78,0.2497,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
CRV/USDT,2024-06-18 01:00:00+00:00,2024,-7.77,2.7,0.2907,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
CRV/USDT,2024-12-06 15:00:00+00:00,2024,-7.76,2.72,1.1594,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
CRV/USDT,2024-12-10 15:00:00+00:00,2024,-8.44,1.52,1.0757,win,5.0,TP1,loss,-3.0,,loss,-4.0,
CRV/USDT,2024-12-20 08:00:00+00:00,2024,-8.4,2.28,0.7534,win,5.0,TP1,loss,-3.0,,loss,-4.0,
CRV/USDT,2025-01-19 21:00:00+00:00,2025,-8.19,2.52,0.8406,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SNX/USDT,2022-01-05 19:00:00+00:00,2022,-7.07,2.12,6.615,expired,-8.01,,loss,-3.0,,loss,-4.0,
SNX/USDT,2022-05-11 06:00:00+00:00,2022,-7.18,2.02,2.922,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SNX/USDT,2022-06-07 00:00:00+00:00,2022,-7.13,2.95,2.579,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SNX/USDT,2022-11-09 21:00:00+00:00,2022,-7.71,2.22,1.699,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
SNX/USDT,2023-03-15 16:00:00+00:00,2023,-9.6,2.77,2.56,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SNX/USDT,2023-04-26 19:00:00+00:00,2023,-8.29,2.77,2.355,win,5.0,TP1,loss,-3.0,,expired,4.93,
SNX/USDT,2024-03-05 19:00:00+00:00,2024,-11.2,2.78,3.727,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SNX/USDT,2024-04-13 19:00:00+00:00,2024,-8.13,1.99,2.778,win,5.0,TP1,loss,-3.0,,loss,-4.0,
1INCH/USDT,2023-07-17 09:00:00+00:00,2023,-11.0,2.44,0.4856,expired,-21.46,,loss,-3.0,,loss,-4.0,
GRT/USDT,2022-05-11 06:00:00+00:00,2022,-8.11,1.91,0.2174,win,5.0,TP1,loss,-3.0,,loss,-4.0,
GRT/USDT,2022-05-11 16:00:00+00:00,2022,-9.05,1.99,0.1788,expired,-18.29,,loss,-3.0,,loss,-4.0,
GRT/USDT,2022-05-11 17:00:00+00:00,2022,-11.13,2.86,0.1589,expired,-12.65,,loss,-3.0,,loss,-4.0,
GRT/USDT,2022-11-09 21:00:00+00:00,2022,-10.19,1.8,0.0573,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
GRT/USDT,2024-04-13 19:00:00+00:00,2024,-8.9,2.78,0.2313,win,5.0,TP1,loss,-3.0,,loss,-4.0,
GRT/USDT,2024-07-05 02:00:00+00:00,2024,-7.41,1.98,0.1574,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
FTM/USDT,2022-11-09 21:00:00+00:00,2022,-8.49,1.62,0.1713,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
FTM/USDT,2024-03-05 19:00:00+00:00,2024,-12.17,2.6,0.5862,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
FTM/USDT,2024-04-13 19:00:00+00:00,2024,-9.93,2.66,0.665,win,5.0,TP1,loss,-3.0,,loss,-4.0,
FTM/USDT,2024-07-05 02:00:00+00:00,2024,-8.36,2.48,0.3934,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
FTM/USDT,2024-11-24 15:00:00+00:00,2024,-7.1,2.29,0.8891,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
FTM/USDT,2024-12-20 08:00:00+00:00,2024,-8.63,2.43,0.88,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SUSHI/USDT,2022-01-22 07:00:00+00:00,2022,-7.2,2.27,4.482,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SUSHI/USDT,2022-05-14 00:00:00+00:00,2022,-7.77,2.13,1.293,expired,1.93,,loss,-3.0,,loss,-4.0,
SUSHI/USDT,2022-11-07 22:00:00+00:00,2022,-7.11,2.28,1.673,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SUSHI/USDT,2022-11-08 17:00:00+00:00,2022,-9.82,1.67,1.588,expired,-28.9,,loss,-3.0,,loss,-4.0,
SUSHI/USDT,2024-03-05 19:00:00+00:00,2024,-12.84,2.89,1.568,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SUSHI/USDT,2024-12-20 08:00:00+00:00,2024,-7.51,1.93,1.379,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SUSHI/USDT,2025-07-19 09:00:00+00:00,2025,-7.77,2.87,0.95,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ZEC/USDT,2022-05-12 02:00:00+00:00,2022,-7.89,1.57,77.1,win,5.0,TP1,loss,-3.0,,loss,-4.0,
