symbol,ts,year,ret1,vol_ratio,entry,REF_status,REF_close_ret,REF_tp_hit,A_status,A_close_ret,A_tp_hit,B_status,B_close_ret,B_tp_hit
SHIB/USDT,2024-07-05 02:00:00+00:00,2024,-7.55,2.57,1.3e-05,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
SHIB/USDT,2024-11-13 19:00:00+00:00,2024,-7.22,1.69,2.5e-05,win,5.0,TP1,win,5.0,TP1,expired,0.92,
PEPE/USDT,2023-05-08 01:00:00+00:00,2023,-7.38,1.71,3e-06,expired,-23.9,,loss,-3.0,,loss,-4.0,
PEPE/USDT,2023-05-08 16:00:00+00:00,2023,-8.49,1.99,2e-06,win,5.0,TP1,loss,-3.0,,loss,-4.0,
PEPE/USDT,2023-05-12 02:00:00+00:00,2023,-14.93,2.55,1e-06,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
PEPE/USDT,2023-05-15 00:00:00+00:00,2023,-7.87,2.8,2e-06,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
PEPE/USDT,2023-06-22 14:00:00+00:00,2023,-8.48,2.69,2e-06,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
PEPE/USDT,2023-10-25 16:00:00+00:00,2023,-7.38,1.92,1e-06,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
PEPE/USDT,2024-03-04 17:00:00+00:00,2024,-9.68,1.73,7e-06,win,5.0,TP1,loss,-3.0,,loss,-4.0,
PEPE/USDT,2024-03-05 15:00:00+00:00,2024,-9.68,1.65,7e-06,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
PEPE/USDT,2024-03-05 19:00:00+00:00,2024,-12.93,1.57,6e-06,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
PEPE/USDT,2024-03-07 16:00:00+00:00,2024,-7.53,2.62,7e-06,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
PEPE/USDT,2024-07-05 02:00:00+00:00,2024,-7.93,1.86,8e-06,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
PEPE/USDT,2024-11-13 19:00:00+00:00,2024,-12.97,2.07,1.8e-05,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
PEPE/USDT,2024-12-10 15:00:00+00:00,2024,-8.85,1.61,2.3e-05,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
FLOKI/USDT,2023-10-27 01:00:00+00:00,2023,-7.77,1.9,3.8e-05,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
FLOKI/USDT,2024-03-04 17:00:00+00:00,2024,-9.97,1.77,0.000152,win,5.0,TP1,loss,-3.0,,loss,-4.0,
FLOKI/USDT,2024-03-06 09:00:00+00:00,2024,-7.05,2.58,0.000147,expired,-8.96,,loss,-3.0,,loss,-4.0,
FLOKI/USDT,2024-03-08 14:00:00+00:00,2024,-7.94,2.78,0.00021,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
FLOKI/USDT,2024-03-15 08:00:00+00:00,2024,-9.11,2.19,0.000242,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
FLOKI/USDT,2024-04-13 19:00:00+00:00,2024,-10.21,2.59,0.000131,win,5.0,TP1,loss,-3.0,,loss,-4.0,
FLOKI/USDT,2024-07-05 02:00:00+00:00,2024,-7.72,2.19,0.000125,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
FLOKI/USDT,2024-11-13 19:00:00+00:00,2024,-8.23,1.68,0.000224,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
FLOKI/USDT,2024-12-09 20:00:00+00:00,2024,-7.33,2.15,0.000254,expired,-14.16,,loss,-3.0,,loss,-4.0,
FLOKI/USDT,2025-02-03 01:00:00+00:00,2025,-11.97,3.0,8.4e-05,win,5.0,TP1,loss,-3.0,,loss,-4.0,
STX/USDT,2022-03-11 00:00:00+00:00,2022,-7.0,1.78,1.394,win,5.0,TP1,loss,-3.0,,loss,-4.0,
STX/USDT,2022-06-17 23:00:00+00:00,2022,-7.3,2.19,0.381,expired,-11.02,,loss,-3.0,,loss,-4.0,
STX/USDT,2022-11-15 16:00:00+00:00,2022,-7.12,2.91,0.261,win,5.0,TP1,loss,-3.0,,loss,-4.0,
STX/USDT,2023-02-20 00:00:00+00:00,2023,-12.9,2.61,0.5714,win,5.0,TP1,win,15.0,TP3,win,20.0,TP2
STX/USDT,2023-02-25 00:00:00+00:00,2023,-7.39,1.51,0.677,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
STX/USDT,2023-03-15 14:00:00+00:00,2023,-7.22,2.07,0.9052,expired,1.25,,loss,-3.0,,loss,-4.0,
STX/USDT,2023-03-20 16:00:00+00:00,2023,-7.5,2.12,1.1191,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
STX/USDT,2024-03-05 19:00:00+00:00,2024,-11.54,2.96,2.4743,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
STX/USDT,2024-04-13 19:00:00+00:00,2024,-7.38,2.91,2.3672,win,5.0,TP1,loss,-3.0,,loss,-4.0,
STX/USDT,2024-07-05 02:00:00+00:00,2024,-7.79,2.22,1.278,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
IMX/USDT,2022-01-22 09:00:00+00:00,2022,-8.08,2.43,2.185,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
IMX/USDT,2022-02-03 16:00:00+00:00,2022,-7.54,2.0,3.752,expired,-21.0,,loss,-3.0,,loss,-4.0,
IMX/USDT,2022-05-11 06:00:00+00:00,2022,-7.48,2.24,1.052,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
IMX/USDT,2022-11-09 21:00:00+00:00,2022,-7.21,2.7,0.399,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
IMX/USDT,2023-03-11 07:00:00+00:00,2023,-7.24,2.43,0.781,win,5.0,TP1,loss,-3.0,,expired,2.18,
IMX/USDT,2023-03-15 15:00:00+00:00,2023,-9.36,2.91,1.084,win,5.0,TP1,loss,-3.0,,loss,-4.0,
IMX/USDT,2024-03-05 19:00:00+00:00,2024,-10.13,2.95,2.672,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
IMX/USDT,2024-04-13 19:00:00+00:00,2024,-7.66,2.13,1.9074,win,5.0,TP1,loss,-3.0,,loss,-4.0,
IMX/USDT,2024-07-05 02:00:00+00:00,2024,-7.91,1.78,1.1905,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
IMX/USDT,2025-04-07 06:00:00+00:00,2025,-8.07,2.9,0.353,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
RNDR/USDT,2022-01-20 21:00:00+00:00,2022,-7.77,2.25,2.93,expired,-20.0,,loss,-3.0,,loss,-4.0,
RNDR/USDT,2022-05-12 05:00:00+00:00,2022,-7.94,2.0,0.661,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
RNDR/USDT,2022-06-12 02:00:00+00:00,2022,-7.17,2.96,0.505,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
RNDR/USDT,2022-11-09 15:00:00+00:00,2022,-7.84,1.56,0.47,win,5.0,TP1,loss,-3.0,,loss,-4.0,
RNDR/USDT,2022-11-09 21:00:00+00:00,2022,-8.55,1.57,0.396,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
RNDR/USDT,2022-11-12 04:00:00+00:00,2022,-7.34,1.61,0.492,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
RNDR/USDT,2023-01-14 09:00:00+00:00,2023,-10.46,2.13,0.531,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
RNDR/USDT,2023-02-13 08:00:00+00:00,2023,-9.27,1.73,1.488,expired,-1.61,,loss,-3.0,,loss,-4.0,
RNDR/USDT,2024-02-23 15:00:00+00:00,2024,-8.3,2.85,7.218,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
RNDR/USDT,2024-03-05 19:00:00+00:00,2024,-9.59,2.95,6.224,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
RNDR/USDT,2024-04-13 19:00:00+00:00,2024,-9.34,2.89,7.041,win,5.0,TP1,loss,-3.0,,loss,-4.0,
RNDR/USDT,2024-07-05 02:00:00+00:00,2024,-7.03,2.11,5.846,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
