entry_time,symbol,kind,score,rank,btc_regime,entry,stop,tp1,tp2,status,reason,tp1_hit,peak,exit_time,exit_price,mark_price,gross_pct,net_pct,variant
2026-09-04 21:00:00+00:00,COTIUSDT,RETRIGGER,100.0,108.0,YELLOW,0.01437,0.013308750000000001,0.015,0.0153,closed,trailing,True,0.0151,2026-09-05 06:24:59.999000+00:00,0.0147225,0.01617,2.4530271398747194,2.2530271398747193,V11_BASE
2026-09-04 21:00:00+00:00,1000CATUSDT,RETRIGGER,100.0,108.0,YELLOW,0.002013,0.0018963749999999998,0.002102,0.0021440400000000003,closed,trailing,True,0.002367,2026-09-05 10:19:59.999000+00:00,0.0023078250000000003,0.002278,14.646050670640843,14.446050670640844,V11_BASE
2026-09-05 21:00:00+00:00,ASTRUSDT,PRESSURE,97.0,105.0,YELLOW,0.005933,0.005699849999999999,0.006140654999999999,0.006263468099999999,open,open,False,0.006072,,,0.006005,1.2135513231080308,1.0135513231080309,V11_BASE
2026-09-05 21:00:00+00:00,ICPUSDT,RETRIGGER,100.0,107.5,YELLOW,2.674,2.5252499999999998,2.7675899999999998,2.8229417999999997,open,open,False,2.733,,,2.661,-0.4861630516080795,-0.6861630516080794,V11_BASE
2026-09-05 21:15:00+00:00,SAGAUSDT,PRESSURE,97.0,105.0,YELLOW,0.01575,0.0150345,0.01617,0.01661625,open,open,False,0.01579,,,0.0154,-2.2222222222222143,-2.4222222222222145,V11_BASE
2026-08-30 08:30:00+00:00,SSVUSDT,MID_40_70,82.0,87.0,GREEN,2.711,2.61105,2.8058849999999995,2.8620026999999997,closed,stop,False,2.753,2026-08-30 23:39:59.999000+00:00,2.61105,2.974,-3.686831427517512,-3.886831427517512,V11_PLUS_40_70
2026-08-30 08:30:00+00:00,CKBUSDT,MID_40_70,82.0,87.0,GREEN,0.001027,0.000991575,0.0010629449999999998,0.0010842038999999998,closed,trailing,True,0.001112,2026-08-30 14:59:59.999000+00:00,0.0010842,0.001101,5.569620253164564,5.369620253164564,V11_PLUS_40_70
2026-08-30 08:30:00+00:00,SOMIUSDT,MID_40_70,82.0,89.25,GREEN,0.1177,0.11173499999999999,0.1211,0.12417349999999999,closed,stop,False,0.1193,2026-08-30 23:14:59.999000+00:00,0.11173499999999999,0.1274,-5.067969413763818,-5.267969413763818,V11_PLUS_40_70
2026-08-30 08:30:00+00:00,TWTUSDT,MID_40_70,82.0,90.0,GREEN,0.4832,0.4624425,0.5079,0.518058,closed,stop,False,0.487,2026-08-30 23:44:59.999000+00:00,0.4624425,0.6263,-4.295840231788084,-4.495840231788084,V11_PLUS_40_70
2026-08-30 08:30:00+00:00,SHELLUSDT,MID_40_70,82.0,90.0,GREEN,0.0225,0.0217425,0.023287499999999996,0.023753249999999997,closed,stop,False,0.023,2026-08-30 23:29:59.999000+00:00,0.0217425,0.0232,-3.3666666666666623,-3.5666666666666624,V11_PLUS_40_70
2026-08-30 08:45:00+00:00,MAGICUSDT,MID_40_70,82.0,87.0,GREEN,0.0468,0.0445575,0.048437999999999995,0.049406759999999994,closed,trailing,True,0.0535,2026-08-30 11:04:59.999000+00:00,0.0521625,0.0468,11.458333333333325,11.258333333333326,V11_PLUS_40_70
