entry_time,symbol,kind,score,rank,btc_regime,entry,stop,tp1,tp2,status,reason,tp1_hit,peak,exit_time,exit_price,mark_price,gross_pct,net_pct,rr,stoch_k,stoch_d,stoch_prev,stoch_min3,rsi15,macd_up,reclaim_ema20,k_slope
2026-08-30 03:45:00+00:00,SIGNUSDT,PRESSURE,100.0,108.0,GREEN,0.00855,0.00812175,0.00884925,0.0090262349999999,closed,expired,False,0.00883,2026-08-31 03:49:59.999000+00:00,0.00857,0.01047,0.233918128654964,0.033918128654964,0.6987740805604187,100.0,100.0,100.0,100.0,73.90847527855925,True,True,0.0
2026-08-30 03:45:00+00:00,EGLDUSDT,PRESSURE,100.0,107.25,GREEN,3.692,3.49245,3.82122,3.8976444,closed,trailing,True,4.0,2026-08-30 11:24:59.999000+00:00,3.9,4.556,5.633802816901401,5.433802816901401,0.6475570032573262,86.46504961586629,73.4535175911415,79.18787411796988,54.70762903958835,66.98181619709979,True,True,7.277175497896408
2026-08-30 03:45:00+00:00,UNIUSDT,PRESSURE,97.0,105.0,GREEN,4.907,4.515225,5.078745,5.1803199,closed,trailing,True,5.324,2026-08-30 14:24:59.999000+00:00,5.1909,7.202,5.785612390462602,5.585612390462602,0.4383766192329771,93.0762815795531,96.09536812677335,95.20982280076703,93.0762815795531,80.88201110663046,True,True,-2.1335412212139317
2026-08-30 21:00:00+00:00,SIGNUSDT,RETRIGGER,100.0,108.0,GREEN,0.00876,0.0083265,0.0090666,0.0092479319999999,closed,expired,False,0.00891,2026-08-31 21:04:59.999000+00:00,0.00871,0.01047,-0.5707762557077611,-0.7707762557077611,0.7072664359861568,90.4139523751968,81.09734808076432,79.37465191408417,73.503439953012,62.127228956042266,True,True,11.039300461112632
2026-08-30 21:15:00+00:00,EDUUSDT,PRESSURE,97.0,105.0,GREEN,0.0491,0.0467024999999999,0.0504,0.0518004999999999,closed,stop,False,0.0492,2026-08-30 23:49:59.999000+00:00,0.0467024999999999,0.0553,-4.882892057026488,-5.082892057026489,0.5422314911365789,22.73675202121169,22.501435723076423,17.173423443505058,17.173423443505058,61.922083916671674,True,True,5.563328577706631
2026-08-30 21:30:00+00:00,SIGNUSDT,RETRIGGER,100.0,108.0,GREEN,0.00879,0.0083265,0.0090976499999999,0.0092796029999999,closed,expired,False,0.00891,2026-08-31 21:34:59.999000+00:00,0.00866,0.01047,-1.4789533560864654,-1.6789533560864651,0.6637540453072311,95.59460088496984,93.18973204433298,93.56064287283232,90.4139523751968,65.38535958763488,True,True,2.033958012137518
2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,100.0,108.0,GREEN,0.01632,0.01412775,0.01687,0.01761,closed,trailing,True,0.01689,2026-09-01 15:14:59.999000+00:00,0.01646775,0.01167,0.9053308823529392,0.7053308823529394,0.25088379518759174,25.672243219450536,21.285955921197104,23.19618115303582,14.989443391104942,58.15364687353102,True,True,2.476062066414716
2026-08-31 21:15:00+00:00,EGLDUSDT,RETRIGGER,87.0,91.5,GREEN,3.846,3.70695,4.026,4.077,closed,trailing,True,4.036,2026-09-01 16:24:59.999000+00:00,3.9351,4.556,2.316692667706688,2.116692667706688,1.2944983818770195,34.91034289303172,25.701023935559203,20.808493489622364,20.808493489622364,48.73405299384633,True,True,14.101849403409354
2026-08-31 21:45:00+00:00,HEMIUSDT,RETRIGGER,100.0,108.0,GREEN,0.01661,0.01412775,0.01761,0.0179622,closed,expired,False,0.01689,2026-09-01 21:49:59.999000+00:00,0.01475,0.01167,-11.198073449729083,-11.398073449729084,0.4028603081881361,37.79619550973283,31.42884684973767,30.818101820029636,25.672243219450536,62.060098969218465,True,True,6.978093689703197
2026-09-01 21:00:00+00:00,UNIUSDT,RETRIGGER,95.0,98.75,YELLOW,5.719,5.509725,5.92,6.0384,closed,trailing,True,6.38,2026-09-02 05:59:59.999000+00:00,6.2205,7.202,8.769015562161208,8.569015562161209,0.9604587265559658,68.72242540206052,65.07876984258913,64.88062614346461,61.63325798224226,53.411712916922134,True,True,3.8417992585959126
