variant,signals,selected,end_capital,return_pct,closed,wins,losses,avg_hold_h
V11_PLUS_RESET_TURN,28,6,2691.87449443057,7.674979777222801,5,2,3,16.483333055555555
V11_BASE,24,6,2514.2722201026368,0.5708888041054738,5,2,3,16.799999722222225
V11_PLUS_40_70,3666,8,2328.753070217997,-6.849877191280118,7,2,5,21.04761876984127
V11_PLUS_BOTH,3670,8,2328.753070217997,-6.849877191280118,7,2,5,21.04761876984127
