variant,entry_time,symbol,kind,reason,status,net_pct,hold_h,capital_after,pnl_usdt
V11_BASE,2026-08-30 20:00:00+00:00,HEMIUSDT,PRESSURE,trailing,closed,10.23838862559241,2.2499997222222223,2755.9597156398104,255.95971563981038
V11_BASE,2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,trailing,closed,0.7053308823529394,17.999999722222224,2775.398350619424,19.438634979613653
V11_BASE,2026-09-01 21:00:00+00:00,UNIUSDT,RETRIGGER,trailing,closed,8.569015562161209,8.999999722222222,3013.222667195968,237.82431657654388
V11_BASE,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,expired,closed,-1.17675568743818,24.083333055555556,2977.764398084563,-35.458269111405116
V11_BASE,2026-09-04 21:00:00+00:00,1000CATUSDT,RETRIGGER,trailing,closed,14.446050670640844,13.333333055555556,3407.933751884162,430.1693537995993
V11_BASE,2026-09-05 21:00:00+00:00,ICPUSDT,RETRIGGER,trailing,closed,2.1130142109199834,17.499999722222224,3479.943876360213,72.0101244760508
V11_PLUS_40_70,2026-08-30 19:45:00+00:00,SOLVUSDT,MID_40_70,stop,closed,-3.035051546391754,3.666666388888889,2424.1237113402062,-75.87628865979377
V11_PLUS_40_70,2026-08-31 11:00:00+00:00,RAYUSDT,MID_40_70,trailing,closed,0.468626707132014,5.416666388888888,2435.4838024654664,11.360091125260169
V11_PLUS_40_70,2026-08-31 17:15:00+00:00,CRVUSDT,MID_40_70,trailing,closed,8.827555270746569,7.666666388888888,2650.4774812381856,214.99367877271925
V11_PLUS_40_70,2026-09-01 21:00:00+00:00,UNIUSDT,RETRIGGER,trailing,closed,8.569015562161209,8.999999722222222,2877.597309077064,227.11982783887834
V11_PLUS_40_70,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,expired,closed,-1.17675568743818,24.083333055555556,2843.7350190809316,-33.862289996132404
V11_PLUS_40_70,2026-09-03 23:30:00+00:00,GIGGLEUSDT,MID_40_70,stop,closed,-3.1092339979013506,13.083333055555556,2755.3166430574406,-88.41837602349096
V11_PLUS_40_70,2026-09-04 14:00:00+00:00,ARUSDT,MID_40_70,trailing,closed,1.1576415826221933,4.666666388888888,2787.2133342503835,31.896691192942853
V11_PLUS_40_70,2026-09-04 20:00:00+00:00,CRCLBUSDT,MID_40_70,expired,closed,-0.5332679866692722,24.083333055555556,2772.350017818649,-14.863316431734347
V11_PLUS_40_70,2026-09-05 21:00:00+00:00,ICPUSDT,RETRIGGER,trailing,closed,2.1130142109199834,17.499999722222224,2830.9301676716,58.58014985295085
V11_PLUS_40_70,2026-09-06 16:00:00+00:00,OPUSDT,MID_40_70,open,open,-0.10808823529411243,,2827.870265210955,-3.0599024606449348
V11_PLUS_RESET_TURN,2026-08-30 20:00:00+00:00,HEMIUSDT,PRESSURE,trailing,closed,10.23838862559241,2.2499997222222223,2755.9597156398104,255.95971563981038
V11_PLUS_RESET_TURN,2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,trailing,closed,0.7053308823529394,17.999999722222224,2775.398350619424,19.438634979613653
V11_PLUS_RESET_TURN,2026-09-01 21:00:00+00:00,UNIUSDT,RETRIGGER,trailing,closed,8.569015562161209,8.999999722222222,3013.222667195968,237.82431657654388
V11_PLUS_RESET_TURN,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,expired,closed,-1.17675568743818,24.083333055555556,2977.764398084563,-35.458269111405116
V11_PLUS_RESET_TURN,2026-09-04 21:00:00+00:00,1000CATUSDT,RETRIGGER,trailing,closed,14.446050670640844,13.333333055555556,3407.933751884162,430.1693537995993
V11_PLUS_RESET_TURN,2026-09-05 21:00:00+00:00,ICPUSDT,RETRIGGER,trailing,closed,2.1130142109199834,17.499999722222224,3479.943876360213,72.0101244760508
V11_PLUS_BOTH,2026-08-30 19:45:00+00:00,SOLVUSDT,MID_40_70,stop,closed,-3.035051546391754,3.666666388888889,2424.1237113402062,-75.87628865979377
V11_PLUS_BOTH,2026-08-31 11:00:00+00:00,RAYUSDT,MID_40_70,trailing,closed,0.468626707132014,5.416666388888888,2435.4838024654664,11.360091125260169
V11_PLUS_BOTH,2026-08-31 17:15:00+00:00,CRVUSDT,MID_40_70,trailing,closed,8.827555270746569,7.666666388888888,2650.4774812381856,214.99367877271925
V11_PLUS_BOTH,2026-09-01 21:00:00+00:00,UNIUSDT,RETRIGGER,trailing,closed,8.569015562161209,8.999999722222222,2877.597309077064,227.11982783887834
V11_PLUS_BOTH,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,expired,closed,-1.17675568743818,24.083333055555556,2843.7350190809316,-33.862289996132404
V11_PLUS_BOTH,2026-09-03 23:30:00+00:00,GIGGLEUSDT,MID_40_70,stop,closed,-3.1092339979013506,13.083333055555556,2755.3166430574406,-88.41837602349096
V11_PLUS_BOTH,2026-09-04 14:00:00+00:00,ARUSDT,MID_40_70,trailing,closed,1.1576415826221933,4.666666388888888,2787.2133342503835,31.896691192942853
V11_PLUS_BOTH,2026-09-04 20:00:00+00:00,CRCLBUSDT,MID_40_70,expired,closed,-0.5332679866692722,24.083333055555556,2772.350017818649,-14.863316431734347
V11_PLUS_BOTH,2026-09-05 21:00:00+00:00,ICPUSDT,RETRIGGER,trailing,closed,2.1130142109199834,17.499999722222224,2830.9301676716,58.58014985295085
V11_PLUS_BOTH,2026-09-06 16:00:00+00:00,OPUSDT,MID_40_70,open,open,-0.10808823529411243,,2827.870265210955,-3.0599024606449348
