entry_time,symbol,kind,score,rank,btc_regime,entry,stop,tp1,tp2,variant
2026-08-30 09:00:00+00:00,AUSDT,MID_40_70,82.0,88.0,GREEN,0.0767,0.074295,0.0789,0.0815,MID_40_70_SIGNALS
2026-08-30 09:00:00+00:00,BEAMXUSDT,MID_40_70,82.0,88.0,GREEN,0.001626,0.0015287999999999999,0.001669,0.002196,MID_40_70_SIGNALS
2026-08-30 09:00:00+00:00,CELRUSDT,MID_40_70,82.0,87.0,GREEN,0.002431,0.002340975,0.002494,0.002564705,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,SOPHUSDT,MID_40_70,82.0,90.0,GREEN,0.00399,0.00377325,0.0041,0.004209449999999999,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,TWTUSDT,MID_40_70,82.0,90.0,GREEN,0.4861,0.4624425,0.5079,0.518058,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,PROVEUSDT,MID_40_70,82.0,90.0,GREEN,0.1743,0.1650675,0.1804005,0.18400851,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,ZRXUSDT,MID_40_70,82.0,90.0,GREEN,0.0976,0.09437999999999999,0.1002,0.102968,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,LINEAUSDT,MID_40_70,82.0,89.5,GREEN,0.002517,0.002415075,0.002605095,0.0026571969,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,SHELLUSDT,MID_40_70,82.0,89.5,GREEN,0.0226,0.0217425,0.023390999999999995,0.023858819999999996,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,CAKEUSDT,MID_40_70,82.0,88.5,GREEN,1.753,1.67505,1.8143549999999997,1.8506420999999997,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,TAOUSDT,MID_40_70,82.0,88.5,GREEN,239.0,229.80749999999998,245.9,255.7,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,LQTYUSDT,MID_40_70,82.0,88.25,GREEN,0.2275,0.2194725,0.238,0.24276,MID_40_70_SIGNALS
2026-08-30 09:15:00+00:00,ZECUSDT,MID_40_70,82.0,88.25,GREEN,838.31,805.53525,866.93,888.0,MID_40_70_SIGNALS
