outcome,count,avg_k,avg_min3,avg_slope,avg_net
LOSS,10,61.12122786849481,50.08467686234955,6.232815781577694,-3.9229236819079345
WIN,11,64.42804475154144,52.27365966392745,6.055755576326877,4.57701130045512
