rank,trades,wins,losses,flat,end,return_pct,maxdd,avg_exposure,version,period,threshold,policy,cal_return,cal_maxdd,return_dd,all_periods_positive
1,17,6,11,0,2448.328974735831,-2.0668410105667667,-6.758083934119963,0.5588235294117647,V17,TEST,0.44000000000000006,"(1.5, 0.5, 2, 24.0)",5.131169076511233,-3.957924312629979,-0.30583239727636063,False
2,20,6,14,0,2391.8802601880043,-4.324789592479828,-11.471773147511488,1.0,V16,TEST,0.44000000000000006,"(2.0, -0.5, 0.5, 2.0)",6.830364908534481,-5.999859807849983,-0.3769939953369791,False
3,18,6,12,0,2416.662309211961,-3.3335076315215484,-7.967613903479187,0.5833333333333334,V18,TEST,0.44000000000000006,"(4.0, 0.5, 1, 1)",2.540585876637924,-6.235182507363901,-0.41838217462644856,False
4,18,3,7,8,2354.769397068892,-5.809224117244316,-10.61290722099364,1.0,V10,TEST,0.44000000000000006,4_2_fixed12h,-7.5869617694006575,-13.712692457162568,-0.5473734949602644,False
5,22,4,7,11,2337.3320001340385,-6.506719994638466,-10.147474017446957,1.0,V14,TEST,0.42000000000000004,3_2,0.6851126040787747,-9.425045281664179,-0.6412157334378195,False
