variant,entry_time,symbol,kind,stoch_k,stoch_min3,net_pct,reason,pnl_usdt,capital_after
CURRENT,2026-08-30 03:45:00+00:00,SIGNUSDT,PRESSURE,100.0,100.0,0.033918128654964,expired,0.8479532163742078,2500.847953216374
CURRENT,2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,25.672243219450536,14.989443391104942,0.7053308823529394,trailing,17.6392529347263,2518.4872061511005
CURRENT,2026-09-01 21:00:00+00:00,JASMYUSDT,RETRIGGER,93.11490840965503,80.260374945398,-5.826252505010021,stop,-146.73342393673556,2371.753782214365
CURRENT,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,44.781544443301335,24.282370617338646,-1.17675568743818,expired,-27.9097475242379,2343.844034690127
CURRENT,2026-09-04 21:00:00+00:00,1000CATUSDT,RETRIGGER,50.11355945672995,44.25400612002746,14.446050670640844,trailing,338.59289689212846,2682.4369315822555
CURRENT,2026-09-05 21:00:00+00:00,ICPUSDT,RETRIGGER,84.98354142897706,77.71754964571217,-0.2,open,-5.364873863164576,2677.072057719091
LOW_STOCH_K40,2026-08-30 21:15:00+00:00,EDUUSDT,PRESSURE,22.73675202121169,17.173423443505058,-5.082892057026489,stop,-127.07230142566232,2372.9276985743377
LOW_STOCH_K40,2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,25.672243219450536,14.989443391104942,0.7053308823529394,trailing,16.736991873951865,2389.6646904482895
LOW_STOCH_K40,2026-09-01 21:00:00+00:00,STXUSDT,RETRIGGER,29.682920345050615,22.924524622751278,-3.496073094867802,stop,-83.5444243003185,2306.120266147971
LOW_STOCH_K40,2026-09-02 21:00:00+00:00,KITEUSDT,PRESSURE,36.64102358142289,16.855777316799692,-3.032861189801705,expired,-69.94142654215375,2236.1788396058173
RETRIGGER_DEEP_RESET,2026-08-30 03:45:00+00:00,SIGNUSDT,PRESSURE,100.0,100.0,0.033918128654964,expired,0.8479532163742078,2500.847953216374
RETRIGGER_DEEP_RESET,2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,25.672243219450536,14.989443391104942,0.7053308823529394,trailing,17.6392529347263,2518.4872061511005
RETRIGGER_DEEP_RESET,2026-09-01 21:00:00+00:00,STXUSDT,RETRIGGER,29.682920345050615,22.924524622751278,-3.496073094867802,stop,-88.04815361193641,2430.439052539164
RETRIGGER_DEEP_RESET,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,44.781544443301335,24.282370617338646,-1.17675568743818,expired,-28.600329780473203,2401.838722758691
RETRIGGER_DEEP_RESET,2026-09-04 21:00:00+00:00,COTIUSDT,RETRIGGER,45.71320355503729,27.475288556598155,2.2530271398747197,trailing,54.11407827977382,2455.9528010384647
RETRIGGER_DEEP_RESET,2026-09-05 21:00:00+00:00,ASTRUSDT,PRESSURE,77.52488613862344,40.12367316118177,0.6933086128434243,open,17.02733229696878,2472.9801333354335
NO_LATE_STOCH,2026-08-30 21:15:00+00:00,EDUUSDT,PRESSURE,22.73675202121169,17.173423443505058,-5.082892057026489,stop,-127.07230142566232,2372.9276985743377
NO_LATE_STOCH,2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,25.672243219450536,14.989443391104942,0.7053308823529394,trailing,16.736991873951865,2389.6646904482895
NO_LATE_STOCH,2026-09-01 21:00:00+00:00,UNIUSDT,RETRIGGER,68.72242540206052,61.63325798224226,8.569015562161209,trailing,204.77073920798557,2594.435429656275
NO_LATE_STOCH,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,44.781544443301335,24.282370617338646,-1.17675568743818,expired,-30.530166475391525,2563.9052631808836
NO_LATE_STOCH,2026-09-04 21:00:00+00:00,1000CATUSDT,RETRIGGER,50.11355945672995,44.25400612002746,14.446050670640844,trailing,370.38305346633797,2934.2883166472216
DEEP_RETRIGGER_PLUS_PRESSURE,2026-08-30 21:15:00+00:00,EDUUSDT,PRESSURE,22.73675202121169,17.173423443505058,-5.082892057026489,stop,-127.07230142566232,2372.9276985743377
DEEP_RETRIGGER_PLUS_PRESSURE,2026-08-31 21:15:00+00:00,HEMIUSDT,RETRIGGER,25.672243219450536,14.989443391104942,0.7053308823529394,trailing,16.736991873951865,2389.6646904482895
DEEP_RETRIGGER_PLUS_PRESSURE,2026-09-01 21:00:00+00:00,STXUSDT,RETRIGGER,29.682920345050615,22.924524622751278,-3.496073094867802,stop,-83.5444243003185,2306.120266147971
DEEP_RETRIGGER_PLUS_PRESSURE,2026-09-02 21:00:00+00:00,FILUSDT,PRESSURE,44.781544443301335,24.282370617338646,-1.17675568743818,expired,-27.13740139106085,2278.98286475691
DEEP_RETRIGGER_PLUS_PRESSURE,2026-09-04 21:00:00+00:00,COTIUSDT,RETRIGGER,45.71320355503729,27.475288556598155,2.2530271398747197,trailing,51.346102456067456,2330.3289672129777
