objective,dd_trigger,reduced_exposure,loss_trigger,defensive_trades,trades,wins,losses,flat,end,return_pct,maxdd,avg_exposure
-13.157735406499631,4.0,0.5,1,1,18,7,11,0,2563.514646915948,2.540585876637924,-6.235182507363901,0.7222222222222222
-13.879368489494237,999.0,0.5,1,2,18,7,11,0,2574.3028358245742,2.972113432982959,-6.491440427217155,0.7222222222222222
-14.783353548611448,1.5,0.5,1,1,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,2,1,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,2,2,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,1,2,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,1,3,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,3,1,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,2,3,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,3,2,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,1.5,0.5,3,3,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,1,1,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,1,2,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,3,1,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,3,2,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,2,2,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,2,3,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,2,1,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,3,3,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-14.783353548611448,2.0,0.5,1,3,18,7,11,0,2528.823180682273,1.1529272272909008,-6.2880623946449665,0.5555555555555556
-16.149110420211713,4.0,0.5,1,2,18,7,11,0,2517.559287556637,0.7023715022654864,-6.491440427217155,0.6666666666666666
-19.753958382878963,999.0,0.65,1,2,18,7,11,0,2556.855565462231,2.274222618489241,-7.6418180003040455,0.8055555555555556
-20.368490909094422,1.5,0.65,1,1,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,2,3,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,3,3,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,3,2,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,3,1,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,1,3,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,2,1,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,2,2,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.368490909094422,1.5,0.65,1,2,18,7,11,0,2525.315889668885,1.012635586755395,-7.498028110188848,0.688888888888889
-20.598745976281155,3.0,0.5,2,2,18,7,11,0,2500.6967347899517,0.027869391598067672,-7.3303589706398276,0.5833333333333334
-20.598745976281155,3.0,0.5,2,1,18,7,11,0,2500.6967347899517,0.027869391598067672,-7.3303589706398276,0.5833333333333334
-20.598745976281155,3.0,0.5,3,1,18,7,11,0,2500.6967347899517,0.027869391598067672,-7.3303589706398276,0.5833333333333334
-20.598745976281155,3.0,0.5,2,3,18,7,11,0,2500.6967347899517,0.027869391598067672,-7.3303589706398276,0.5833333333333334
-20.598745976281155,3.0,0.5,3,2,18,7,11,0,2500.6967347899517,0.027869391598067672,-7.3303589706398276,0.5833333333333334
-20.598745976281155,3.0,0.5,3,3,18,7,11,0,2500.6967347899517,0.027869391598067672,-7.3303589706398276,0.5833333333333334
-21.334271371175003,4.0,0.65,1,1,18,7,11,0,2517.3477407548303,0.6939096301932013,-7.6418180003040455,0.7666666666666667
-21.334271371175003,4.0,0.65,1,2,18,7,11,0,2517.3477407548303,0.6939096301932013,-7.6418180003040455,0.7666666666666667
-21.664218350331403,999.0,0.5,1,3,18,7,11,0,2521.9374667282545,0.8774986691301834,-7.755937115435907,0.6666666666666666
-22.033655573907556,2.0,0.65,2,3,18,7,11,0,2517.1865674211585,0.6874626968463415,-7.795804060167533,0.7083333333333335
-22.033655573907556,2.0,0.65,3,1,18,7,11,0,2517.1865674211585,0.6874626968463415,-7.795804060167533,0.7083333333333335
-22.033655573907556,2.0,0.65,2,1,18,7,11,0,2517.1865674211585,0.6874626968463415,-7.795804060167533,0.7083333333333335
-22.033655573907556,2.0,0.65,1,2,18,7,11,0,2517.1865674211585,0.6874626968463415,-7.795804060167533,0.7083333333333335
-22.033655573907556,2.0,0.65,1,1,18,7,11,0,2517.1865674211585,0.6874626968463415,-7.795804060167533,0.7083333333333335
-22.033655573907556,2.0,0.65,1,3,18,7,11,0,2517.1865674211585,0.6874626968463415,-7.795804060167533,0.7083333333333335
-22.033655573907556,2.0,0.65,3,2,18,7,11,0,2517.1865674211585,0.6874626968463415,-7.795804060167533,0.7083333333333335
