objective,check_h,fail_close,fail_peak,hard_stop,trades,wins,losses,flat,end,return_pct,maxdd,avg_exposure
-4.249179466977965,2,-0.5,0.5,2.0,21,10,11,0,2670.759122713362,6.830364908534481,-5.999859807849983,1.0
-5.252781542831776,3,-0.5,0.5,2.0,22,11,11,0,2743.6169399958094,9.744677599832375,-7.211525890050508,1.0
-5.252781542831776,3,-0.5,2.0,2.0,22,11,11,0,2743.6169399958094,9.744677599832375,-7.211525890050508,1.0
-5.252781542831776,3,-0.5,1.5,2.0,22,11,11,0,2743.6169399958094,9.744677599832375,-7.211525890050508,1.0
-5.252781542831776,3,-0.5,1.0,2.0,22,11,11,0,2743.6169399958094,9.744677599832375,-7.211525890050508,1.0
-5.600338051986159,2,-0.5,0.5,2.25,21,10,11,0,2675.9768336769826,7.039073347079294,-6.479818892020139,1.0
-7.977060782421741,2,-0.5,0.5,2.5,21,10,11,0,2655.4556286793786,6.218225147175138,-6.95854951679904,1.0
-8.14519216970321,2,-0.5,1.0,2.0,22,9,13,0,2649.093295737168,5.963731829486707,-6.938130461289205,1.0
-8.14519216970321,2,-0.5,1.5,2.0,22,9,13,0,2649.093295737168,5.963731829486707,-6.938130461289205,1.0
-8.14519216970321,2,-0.5,2.0,2.0,22,9,13,0,2649.093295737168,5.963731829486707,-6.938130461289205,1.0
-8.954985562664117,3,-0.5,0.5,2.25,22,11,11,0,2708.7290811228672,8.349163244914681,-7.921276556178092,1.0
-8.954985562664117,3,-0.5,2.0,2.25,22,11,11,0,2708.7290811228672,8.349163244914681,-7.921276556178092,1.0
-8.954985562664117,3,-0.5,1.0,2.25,22,11,11,0,2708.7290811228672,8.349163244914681,-7.921276556178092,1.0
-8.954985562664117,3,-0.5,1.5,2.25,22,11,11,0,2708.7290811228672,8.349163244914681,-7.921276556178092,1.0
-9.482473897049575,2,-0.5,1.5,2.25,22,9,13,0,2654.2686794006627,6.170747176026503,-7.413298791715716,1.0
-9.482473897049575,2,-0.5,1.0,2.25,22,9,13,0,2654.2686794006627,6.170747176026503,-7.413298791715716,1.0
-9.482473897049575,2,-0.5,2.0,2.25,22,9,13,0,2654.2686794006627,6.170747176026503,-7.413298791715716,1.0
-9.564142496442736,2,-1.0,1.5,2.0,21,10,11,0,2636.332916155537,5.453316646221484,-7.211525890050529,1.0
-9.564142496442736,2,-1.0,1.0,2.0,21,10,11,0,2636.332916155537,5.453316646221484,-7.211525890050529,1.0
-9.564142496442736,2,-1.0,2.0,2.0,21,10,11,0,2636.332916155537,5.453316646221484,-7.211525890050529,1.0
-9.564142496442736,2,-1.0,0.5,2.0,21,10,11,0,2636.332916155537,5.453316646221484,-7.211525890050529,1.0
-10.402193129993424,3,-1.0,2.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,6,-1.5,0.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,6,-1.5,1.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,6,-1.5,1.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,6,-1.5,2.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,2,-1.5,1.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,2,-1.5,0.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,2,-1.5,1.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,2,-1.5,2.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,3,-1.0,1.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,3,-1.0,0.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,3,-1.5,1.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,3,-1.5,2.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,3,-1.5,1.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,3,-1.5,0.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.0,1.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,3,-1.0,1.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-0.5,1.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-0.5,0.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.5,0.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.5,1.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.5,1.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.5,2.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.0,0.5,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.0,2.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.402193129993424,4,-1.0,1.0,2.0,21,10,11,0,2615.381650316768,4.615266012670727,-7.211525890050508,1.0
-10.860709203738187,4,-0.5,1.5,2.0,22,11,11,0,2603.418748473149,4.136749938925965,-7.211525890050508,1.0
-10.860709203738187,4,-0.5,2.0,2.0,22,11,11,0,2603.418748473149,4.136749938925965,-7.211525890050508,1.0
-11.754856937727524,6,-1.0,1.0,2.0,21,10,11,0,2604.3409091171557,4.173636364686217,-7.491844093050382,1.0
